Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
f3c1f3c7-e19f-443c-b576-a45a9e6490a2,2016-07-25 13:48:46,Running,,6.16,40:23,6:33,9.15,469.0,73,,"","",2016-07-25-134846.gpx
3f8234f0-ccb3-4969-8da1-8191c5360272,2016-07-20 20:47:50,Running,,6.07,34:03,5:36,10.70,471.0,53,,"","",2016-07-20-204750.gpx
45408fd0-e923-469d-9d0f-0acee1428623,2016-07-18 19:45:50,Running,,6.09,33:38,5:32,10.86,473.0,53,,"","",2016-07-18-194550.gpx
f1ed3cba-e99e-49cc-8d55-963d7c4b0a00,2016-07-15 21:02:25,Running,,6.21,37:55,6:07,9.82,475.0,74,,"","",2016-07-15-210225.gpx
0b0b05fc-9ff4-4408-af39-94551eeb5f6d,2016-07-14 14:17:14,Running,,4.22,30:12,7:09,8.38,294.0,18,,"","",2016-07-14-141714.gpx
2fee8ef9-8492-4cef-b0e0-53b94d662f87,2016-07-12 18:42:04,Running,,6.17,40:19,6:32,9.18,461.0,65,,"","",2016-07-12-184204.gpx
ae420b76-ea9e-4372-9f2c-b4b50af276d7,2016-07-05 16:40:21,Running,,6.25,43:13,6:55,8.67,450.0,16,,"","",2016-07-05-164021.gpx
ca891c16-34bf-45e3-8ae7-ef2a7634690c,2016-07-03 16:31:59,Running,,6.27,39:15,6:16,9.58,462.0,18,,"","",2016-07-03-163159.gpx
4a6a2d74-de96-48c2-855d-530251b8c674,2016-07-01 16:50:45,Running,,6.38,39:25,6:11,9.71,479.0,22,,"","",2016-07-01-165045.gpx
710a3b94-8fba-47ba-93e1-9fc148393e21,2016-06-29 13:50:20,Running,,6.05,38:41,6:24,9.38,446.0,22,,"","",2016-06-29-135020.gpx
